"id","meanfreq","sd","median","Q25","Q75","IQR","skew","kurt","sp.ent","sfm","mode","centroid","meanfun","minfun","maxfun","meandom","mindom","maxdom","dfrange","modindx","label"
2062,4.37115573199664,7.40333136089016,0.196032672112019,0.0200033338889815,3.62860476746124,3.60860143357226,37.1425362406107,1594.96554587906,0.702591443692529,0.442134034345711,0.0120020003333889,4.37115573199664,0.0,0.0,0.0,0.012,0.012,0.012,0.0,0.0,2.0
2063,12.2222097551406,7.20595375192863,12.6141023503917,5.832972162027,18.3110518419737,12.4780796799467,27.4555067065942,1049.2715786603,0.968414030280016,0.810303524199324,0.0120020003333889,12.2222097551406,16.0,0.0,16.0,0.012,0.012,0.012,0.0,0.0,2.0
2064,5.77944305307669,8.27002093488476,0.080013335555926,0.0160026671111852,12.7741290215036,12.7581263543924,43.1283144837194,2228.57725278207,0.697114971344844,0.606001181525488,0.0120020003333889,5.77944305307669,0.0,0.0,0.0,0.012,0.012,0.012,0.0,0.0,2.0
2065,3.37181885641384,4.16288198815729,2.43240540090015,0.372062010335056,3.91665277546258,3.54459076512752,24.5058378698109,719.325154859563,0.780726690000231,0.230024481862644,0.344057342890482,3.37181885641384,0.0,0.0,0.0,0.344,0.344,0.344,0.0,0.0,2.0
2066,5.84734852984503,5.66523669042474,4.18069678279713,1.12418736456076,9.54559093182197,8.42140356726121,5.52574039425683,40.7697109582675,0.897335204226742,0.397679099355022,0.0560093348891482,5.84734852984503,9.6,0.0,9.6,0.056,0.056,0.056,0.0,0.0,2.0
2067,10.0746697930868,4.53334365945852,9.62560426737789,7.30521753625604,12.5420903483914,5.23687281213536,2.92978572498781,16.5312607122211,0.934442828563129,0.519973224308532,0.0120020003333889,10.0746697930868,6.85714285714286,0.0,6.85714285714286,0.012,0.012,0.012,0.0,0.0,2.0
2068,2.17238799612699,3.72745147373876,0.784130688448075,0.536089348224704,1.49224870811802,0.956159359893315,6.75732746376453,60.6650170077622,0.770786597307783,0.170249235410963,0.676112685447575,2.17238799612699,0.0,0.0,0.0,0.676,0.676,0.676,0.0,0.0,2.0
2069,3.92028103318393,5.60788107093554,1.65227537922987,0.552092015335889,4.16469411568595,3.61260210035006,35.960394847341,1615.21757064411,0.830443756793866,0.356987096571985,0.0160026671111852,3.92028103318393,0.0,0.0,0.0,0.016,0.016,0.016,0.0,0.0,2.0
2070,4.9184767214383,7.8021004996621,0.132022003667278,0.0160026671111852,8.04934155692616,8.03333888981497,43.2038742116285,2118.90494971822,0.701840866168959,0.422487431423591,0.0120020003333889,4.9184767214383,0.0,0.0,0.0,0.012,0.012,0.012,0.0,0.0,2.0
2071,5.3510000847657,8.20431143113006,0.0520086681113519,0.0160026671111852,11.5019169861644,11.4859143190532,43.7643985355417,2120.16940755003,0.655684562238626,0.390514175096067,0.0160026671111852,5.3510000847657,0.0,0.0,0.0,0.016,0.016,0.016,0.0,0.0,2.0
2072,7.16963800406048,8.81466389881492,0.264044007334556,0.0320053342223704,16.2147024504084,16.182697116186,33.1390876779967,1291.54806315427,0.741936960210755,0.568470637978423,0.0280046674445741,7.16963800406048,0.0,0.0,0.0,0.028,0.028,0.028,0.0,0.0,0.0
2073,5.61243080666821,8.1255618060782,0.532088681446908,0.0280046674445741,11.8019669944991,11.7739623270545,37.167566354694,1624.52873044065,0.749715918908466,0.506960624191052,0.0160026671111852,5.61243080666821,0.0,0.0,0.0,0.016,0.016,0.016,0.0,0.0,2.0
2074,5.78506189644804,8.206656293545,0.628104684114019,0.0280046674445741,12.4700783463911,12.4420736789465,29.4776522665724,991.303556470048,0.763172713077847,0.571237097179264,0.0160026671111852,5.78506189644804,0.0,0.0,0.0,0.016,0.016,0.016,0.0,0.0,2.0
2075,5.78825747493435,8.21468177018084,0.556092682113686,0.0240040006667778,12.5780963493916,12.5540923487248,37.8960882620023,1657.04065746962,0.750227671796135,0.51796608092972,0.0160026671111852,5.78825747493435,0.0,0.0,0.0,0.016,0.016,0.016,0.0,0.0,0.0
2076,5.40992274281611,8.17189270248193,0.0960160026671112,0.0160026671111852,11.5179196532755,11.5019169861644,41.659224037874,1984.05651498073,0.698456472828707,0.510639293290819,0.0120020003333889,5.40992274281611,0.0,0.0,0.0,0.012,0.012,0.012,0.0,0.0,0.0
2077,7.84365777725511,8.91864377576953,1.49224870811802,0.0440073345557593,17.1188531421904,17.0748458076346,22.4523671525288,577.31045851771,0.787387704202538,0.485394576772963,0.0280046674445741,7.84365777725511,0.0,0.0,0.0,0.028,0.028,0.028,0.0,0.0,2.0
2078,11.1644392828164,7.47207051475026,9.16952825470912,4.7607934655776,18.6471078513086,13.886314385731,31.71280340383,1408.22774201222,0.964453777989722,0.779175097705879,0.0120020003333889,11.1644392828164,0.0,0.0,0.0,0.012,0.012,0.012,0.0,0.0,2.0
2079,5.26643982906946,7.30871193386665,1.37622937156193,0.0560093348891482,8.4294049008168,8.37339556592765,44.6261221378289,2228.93537393136,0.80505262972989,0.537864245166694,0.0120020003333889,5.26643982906946,0.0,0.0,0.0,0.012,0.012,0.012,0.0,0.0,2.0
2080,4.88393882929743,5.06503383450968,1.79229871645274,1.17219536589432,8.80546757792965,7.63327221203534,5.87238816827187,45.1624030428392,0.869394247733243,0.325282017591172,1.14419069844974,4.88393882929743,12.0,0.0,12.0,1.144,1.144,1.144,0.0,0.0,2.0
2081,1.92659604604802,3.22652051582283,0.612102017002834,0.560093348891482,1.98033005500917,1.42023670611769,17.4309382730412,378.16552107011,0.691553078121966,0.102840085771144,0.568094682447074,1.92659604604802,0.0,0.0,0.0,0.568,0.568,0.568,0.0,0.0,2.0
2082,2.95768961486009,5.21365432040339,0.700116686114352,0.500083347224537,1.82430405067511,1.32422070345058,25.4287550222022,794.106573761221,0.736894794334258,0.291441442188921,0.504084014002334,2.95768961486009,16.0,0.0,16.0,0.504,0.504,0.504,0.0,0.0,2.0
2083,1.81783786537746,3.51424662780832,0.496082680446741,0.272045340890148,1.48024670778463,1.20820136689448,22.8489459578932,597.968060185298,0.652690751141816,0.200457684933633,0.248041340223371,1.81783786537746,0.0,0.0,0.0,0.248,0.248,0.248,0.0,0.0,2.0
2114,6.07231458465921,7.35422353706708,3.17252875479247,0.0560093348891482,10.5737622937156,10.5177529588265,32.4960058351184,1215.76941388435,0.837147181152626,0.622990234565345,0.0120020003333889,6.07231458465921,0.0,0.0,0.0,0.012,0.012,0.012,0.0,0.0,2.0
2115,5.51958987999116,8.1787525393415,0.1080180030005,0.0240040006667778,11.8939823303884,11.8699783297216,30.3875038951549,1054.1251659462,0.712559778153904,0.53029613394418,0.0120020003333889,5.51958987999116,0.0,0.0,0.0,0.012,0.012,0.012,0.0,0.0,2.0
